x,y,z
-0.006213266,,0.022900763
0,,0.004975124
0,,0.004950495
-0.007012504,,0.019704433
-0.006466434,,0
-0.004110645,,0.012077295
-0.022959842,,0
-0.009417356,,0.002386635
0,,0.023809524
0,,0
-0.003998223,,0.01627907
0.004103479,,0.018306636
0.001687989,,-0.033707865
-0.003547672,,0
-0.001246106,,-0.023255814
0,,0.019047619
0,,0.01635514
0,,-0.022988506
0,,-0.016470588
-0.002138847,,-0.004784689
-0.001696883,,0
0.002683843,,0.016826923
0,,0.004728132
0,,0
0.007762313,,-0.004705882
0.004957946,,0
-0.004052506,,-0.002364066
0.000176913,,0
0.006013974,,0
0,,-0.004739336
0,,0
0.006593407,,0.002380952
0.012401747,,0.009501188
0.005607315,,0.004705882
-0.000943639,,0
-0.004121587,,-0.004683841
0,,-0.007058824
0,,0
0.001379548,,-0.004739336
0.000602721,,0.003571429
-0.003183891,,-0.003558719
-0.00129489,,0
0,,0.002380952
0,,0.004750594
0,,0.033096927
0.004235457,,0.00228833
0.005852987,,-0.006849315
0.001625877,,0
0.004100812,,0
0.004254233,,0.029885057
0,,-0.006696429
0,,-0.011235955
-0.00440566,,-0.004545455
-0.002212578,,0.00456621
-0.001279318,,0
0.000939368,,0
0.002644826,,0
0,,0
0,,0.004545455
-0.003063308,,0.011312217
-0.002560601,,0
-0.001625877,,0.017897092
-0.000514271,,0
0.002915702,,0.010989011
0,,0.004347826
0,,-0.012987013
0,,0.00877193
0.005643437,,-0.006521739
0,,0
0.002465777,,0
-0.001187447,,-0.004376368
0,,-0.006593407
0,,-0.008849558
0.00390625,,-0.002232143
0.009220098,,-0.011185682
0.006453776,,0.004524887
0.000333111,,0
-0.001498501,,0
0,,-0.02027027
0,,-0.016091954
-0.002584626,,0
0.003845189,,0
0.003330835,,0
0.00522865,,0
0.001733818,,0.014018692
0,,-0.006912442
0,,0
0.007252947,,0.002320186
0.002291138,,0
0.00481672,,0.002314815
0.009831004,,0
0.001448226,,-0.004618938
0,,-0.002320186
0,,-0.002325581
-0.000482044,,-0.004662005
0.008520215,,-0.00234192
-0.001036104,,0
-0.002712622,,0
0.00296,,0.002347418
0,,0
0,,0.00234192
0,,0.002336449
0,,0.018648019
0,,-0.00228833
0,,0
0,,-0.004587156
0,,-0.004608295
0,,-0.009259259
0.00614182,,0.009345794
0.009433962,,-0.00462963
0.007146784,,0.006976744
0.003353088,,0
0.006062019,,-0.006928406
0,,0.004651163
0,,-0.002314815
0.014831981,,-0.002320186
0.013930121,,0
-0.000225225,,0.039534884
0.011939626,,0
0.016325319,,-0.011185682
0,,-0.002262443
0,,0.006802721
0.004234813,,0.036036036
0.0035626,,0.043478261
0.002173441,,0
0.005132654,,0
-7.19217E-05,,0.010416667
0,,-0.010309278
0,,-0.010416667
-0.006257642,,-0.006315789
0.008613202,,0.025423729
0.014567635,,0.012396694
0.003395105,,0
-0.004018046,,0.008163265
0,,0.046558704
0,,0
-0.003468044,,0.030947776
-0.001917614,,0.046904315
0.005408098,,-0.001792115
0.000707764,,0
-0.008982248,,-0.062836625
0,,0.072796935
0,,-0.010714286
0.009206395,,0.003610108
-0.0038894,,0
-0.005253443,,0
0.001712818,,0
-0.006554574,,-0.007194245
0,,0.023550725
0,,-0.003539823
-0.00172117,,0.021314387
0.006752874,,0.036521739
0.006065363,,-0.010067114
0.002340592,,0
-0.001910558,,0.010169492
0,,0.015100671
0,,0.016528926
-0.000638072,,0.040650407
0.003050511,,-0.046875
0,,-0.016393443
0.001273074,,0
-7.06364E-05,,0.008333333
0,,0.008264463
0,,0
-0.002755016,,0.004918033
-0.0029043,,-0.004893964
0.002841716,,0.008196721
0.004817229,,0
-0.001903553,,0
0,,-0.008130081
0,,-0.06557377
-0.002613548,,-0.00877193
-0.002266289,,0.044247788
-0.00354912,,-0.005084746
0.005057701,,0
0.005174002,,0
0,,0.005110733
0,,-0.06779661
0,,0.009090909
-0.001198703,,0.036036036
-0.002117896,,-0.008695652
0.000990449,,0
-0.006643579,,0.010526316
0,,-0.010416667
0,,-0.00877193
0.004268943,,0.008849558
0.00460503,,-0.00877193
0.007616361,,0.005309735
0.007418813,,0
